TRI_FACILITY_ID,FACILITY_NAME,STREET_ADDRESS,CITY,COUNTY,ST,ZIP,LATITUDE,LONGITUDE,CHEMICAL
34654PLLLN7070M,PALL AEROPOWER CORP NEW PORT RICHEY,10540 RIDGE RD,NEW PORT RICHEY,PASCO,FL,34654,28.275687,-82.640483,MANGANESE
3361WTRDMR6912E,TRADEMARK METALS RECYCLING LLC,6912 E 9TH AVE,TAMPA,HILLSBOROUGH,FL,33619,27.962265,-82.375986,LEAD
33316FPLPR8100E,FPL PORT EVERGLADES POWER PLANT,8100 EISENHOWER BLVD,FORT LAUDERDALE,BROWARD,FL,333163118,26.085278,-80.126111,"BENZO(G,H,I)PERYLENE"
32055NWMLL1992N,NEW MILLENNIUM BUILDING SYSTEMS LLC,1992 NW BASCOM NORRIS DR,LAKE CITY,COLUMBIA,FL,32055,30.198917,-82.664361,MANGANESE
33597RBBNSSR50S,ROBBINS MFG CO,SR 50 & SR 471,TARRYTOWN,SUMTER,FL,33597,28.552778,-82.0575,ARSENIC COMPOUNDS
33801MRGNL4434M,MORGAN TRUCK BODY LLC LAKELAND,4434 MAINE AVE,LAKELAND,POLK,FL,33801,28.01137,-81.87205,LEAD COMPOUNDS
34677NSYSC3655S,LOCKHEED MARTIN MST CLEARWATER OPERATION,3655 TAMPA RD,OLDSMAR,PINELLAS,FL,34677,28.048198,-82.6864,LEAD COMPOUNDS
33566PLMHR605SF,PALM HARBOR HOMES INC,605 S FRONTAGE RD,PLANT CITY,HILLSBOROUGH,FL,33563,28.03651,-82.11871,DIISOCYANATES
3466WHDSNX8519N,CEMEX HUDSON,8519 NEW YORK AVE,HUDSON,PASCO,FL,34667,28.3751,-82.67346,LEAD COMPOUNDS
33617BLLPC4700W,BALL METAL BEVERAGE CONTAINER CORP,4700 WHITEWAY DR,TAMPA,HILLSBOROUGH,FL,33617,28.04873,-82.405878,LEAD
3331WMTVNT15SE2,MOTIVA ENTERPRISES LLC - PORT EVERGLADES EAST TERMINAL,1500 SE 26TH ST,FORT LAUDERDALE,BROWARD,FL,33316,26.090104,-80.127063,BENZENE
34601FLRDC10311,CEMEX CONSTR MATERIALS FL LLC,10311 CEMENT PLANT RD,BROOKSVILLE,HERNANDO,FL,34601,28.582265,-82.430829,AMMONIA
33617BLLPC4700W,BALL METAL BEVERAGE CONTAINER CORP,4700 WHITEWAY DR,TAMPA,HILLSBOROUGH,FL,33617,28.04873,-82.405878,"SULFURIC ACID (1994 AND AFTER ACID AEROSOLS"" ONLY)"""
33035TRKYP9700S,FLORIDA POWER & LIGHT CO TURKEY POINT POWER PLANT,9700 SW 344 ST,HOMESTEAD,MIAMI-DADE,FL,33035,25.435833,-80.331111,POLYCYCLIC AROMATIC COMPOUNDS
33035TRKYP9700S,FLORIDA POWER & LIGHT CO TURKEY POINT POWER PLANT,9700 SW 344 ST,HOMESTEAD,MIAMI-DADE,FL,33035,25.435833,-80.331111,LEAD
33426SFTYK5610A,SAFETY-KLEEN SYSTEMS (309701),5610 ALPHA DR,BOYNTON BEACH,PALM BEACH,FL,33426,26.540417,-80.0816,POLYCYCLIC AROMATIC COMPOUNDS
33035TRKYP9700S,FLORIDA POWER & LIGHT CO TURKEY POINT POWER PLANT,9700 SW 344 ST,HOMESTEAD,MIAMI-DADE,FL,33035,25.435833,-80.331111,AMMONIA
32533CHMPN375MU,INTERNATIONAL PAPER PENSACOLA MILL,375 MUSCOGEE RD,CANTONMENT,ESCAMBIA,FL,325330087,30.60539,-87.322938,FORMALDEHYDE
32234FLRDSHWY21,GERDAU AMERISTEEL INC  JACKSONVILLE STEEL MILL DIV,16770 REBAR RD,JACKSONVILLE,DUVAL,FL,32234,30.282983,-81.978386,LEAD COMPOUNDS
32234FLRDSHWY21,GERDAU AMERISTEEL INC  JACKSONVILLE STEEL MILL DIV,16770 REBAR RD,JACKSONVILLE,DUVAL,FL,32234,30.282983,-81.978386,ZINC COMPOUNDS
33605CTGPT801MC,CITGO PETROLEUM CORP,801 MCCLOSKEY BLVD,TAMPA,HILLSBOROUGH,FL,33605,27.932197,-82.443617,XYLENE (MIXED ISOMERS)
33605CTGPT801MC,CITGO PETROLEUM CORP,801 MCCLOSKEY BLVD,TAMPA,HILLSBOROUGH,FL,33605,27.932197,-82.443617,ETHYLBENZENE
32966DYCPR16259,PARKER HANNIFIN,1625 98TH AVE,VERO BEACH,INDIAN RIVER,FL,32966,27.63319,-80.52876,ZINC COMPOUNDS
34997TRBCM3651S,PARADIGM PRECISION INC,3651 SE COMMERCE AVE,STUART,MARTIN,FL,34997,27.16157,-80.22009,CHROMIUM
34997TRBCM3651S,PARADIGM PRECISION INC,3651 SE COMMERCE AVE,STUART,MARTIN,FL,34997,27.16157,-80.22009,NICKEL
32402RZNCHEVERE,ARIZONA CHEMICAL,2 S EVERITT AVE,PANAMA CITY,BAY,FL,32401,30.145715,-85.621033,ZINC COMPOUNDS
32402RZNCHEVERE,ARIZONA CHEMICAL,2 S EVERITT AVE,PANAMA CITY,BAY,FL,32401,30.145715,-85.621033,TOLUENE
32402RZNCHEVERE,ARIZONA CHEMICAL,2 S EVERITT AVE,PANAMA CITY,BAY,FL,32401,30.145715,-85.621033,BIPHENYL
33178SFTYK8755N,SAFETY-KLEEN SYSTEMS (309702),8755 NW 95TH ST,MEDLEY,MIAMI-DADE,FL,33178,25.860432,-80.340403,ETHYLENE GLYCOL
