FACILITY_NAME,STREET_ADDRESS,CITY,COUNTY,ST,ZIP,LATITUDE,LONGITUDE,CHEMICAL
MISSISSIPPI PHOSPHATES CORP,601 HWY 611,PASCAGOULA,JACKSON,MS,395810848,30.348056,-88.494139,CHLORINE
EKA CHEMICALS INC,4374 NASHVILLE FERRY RD E,COLUMBUS,LOWNDES,MS,39702,33.421972,-88.403889,CHLORINE
EKA CHEMICALS INC,4374 NASHVILLE FERRY RD E,COLUMBUS,LOWNDES,MS,39702,33.421972,-88.403889,NITRATE COMPOUNDS
EKA CHEMICALS INC,4374 NASHVILLE FERRY RD E,COLUMBUS,LOWNDES,MS,39702,33.421972,-88.403889,NAPHTHALENE
FEDERAL CORRECTIONAL COMPLEX YAZOO CITY,2225 HALEY BARBOUR PKWY,YAZOO CITY,YAZOO,MS,39194,32.891798,-90.445647,LEAD
KINGSFORD MANUFACTURING CO,2387 HWY 72 E,GLEN,ALCORN,MS,38846,34.875417,-88.433944,LEAD COMPOUNDS
HOWSE IMPLEMENTS CO INC,2013 HWY 184E,LAUREL,JONES,MS,39443,31.698914,-89.062242,COPPER
HOWSE IMPLEMENTS CO INC,2013 HWY 184E,LAUREL,JONES,MS,39443,31.698914,-89.062242,CHROMIUM
INTERNATIONAL PAPER - VICKSBURG MILL,3737 HWY 3 N,REDWOOD,WARREN,MS,39156,32.5278,-90.772239,HYDROGEN SULFIDE
COLUMBUS BRICK CO,114 BRICKYARD RD,COLUMBUS,LOWNDES,MS,39705,33.515817,-88.413848,HYDROGEN FLUORIDE
ERSHIGS INC,TRI STATE COMMERCE PARK - 751 CR 989 - BUILDING 1026,IUKA,TISHOMINGO,MS,38852,34.95398,-88.20364,STYRENE
DREXEL CHEMICAL CO,TUNICA INDUSTRIAL PARK PO BOX 1096,TUNICA,TUNICA,MS,38676,34.652222,-90.382472,PENDIMETHALIN
DREXEL CHEMICAL CO,TUNICA INDUSTRIAL PARK PO BOX 1096,TUNICA,TUNICA,MS,38676,34.652222,-90.382472,METHANOL
GRESHAM PETROLEUM CO,415 PERSHING AVE,INDIANOLA,SUNFLOWER,MS,38751,33.447158,-90.64552,XYLENE (MIXED ISOMERS)
MARTIN OPERATING PTNR - PASCAGOULA,5320 INGALLS AVE,PASCAGOULA,JACKSON,MS,39581,30.35489,-88.50842,ETHYLBENZENE
SCOTT BIODIESEL/GREENVILLE TERMINAL,942 N BROADWAY,GREENVILLE,WASHINGTON,MS,38701,33.39955,-91.067216,ETHYLBENZENE
SCOTT BIODIESEL/GREENVILLE TERMINAL,942 N BROADWAY,GREENVILLE,WASHINGTON,MS,38701,33.39955,-91.067216,TOLUENE
CHEVRON PRODUCTS CO PASCAGOULA REFINERY,250 INDUSTRIAL RD,PASCAGOULA,JACKSON,MS,395813201,30.343733,-88.4938,NAPHTHALENE
CHEVRON PRODUCTS CO PASCAGOULA REFINERY,250 INDUSTRIAL RD,PASCAGOULA,JACKSON,MS,395813201,30.343733,-88.4938,"1,3-BUTADIENE"
CHEVRON PRODUCTS CO PASCAGOULA REFINERY,250 INDUSTRIAL RD,PASCAGOULA,JACKSON,MS,395813201,30.343733,-88.4938,PHENOL
CHEVRON PRODUCTS CO PASCAGOULA REFINERY,250 INDUSTRIAL RD,PASCAGOULA,JACKSON,MS,395813201,30.343733,-88.4938,"BENZO(G,H,I)PERYLENE"
CHEVRON PRODUCTS CO PASCAGOULA REFINERY,250 INDUSTRIAL RD,PASCAGOULA,JACKSON,MS,395813201,30.343733,-88.4938,NITRATE COMPOUNDS
CHEVRON PRODUCTS CO PASCAGOULA REFINERY,250 INDUSTRIAL RD,PASCAGOULA,JACKSON,MS,395813201,30.343733,-88.4938,ZINC COMPOUNDS
FRESHWATER FARMS PRODUCTS LLC,4554 STATE HWY 12 E,BELZONI,HUMPHREYS,MS,39038,33.184278,-90.426528,NITRATE COMPOUNDS
CF INDUSTRIES NITROGEN LLC - YAZOO CITY MISSISSIPPI PLANT,4612 HWY 49 E,YAZOO CITY,YAZOO,MS,39194,32.903056,-90.382611,CHLORINE
MARSHALL DURBIN PROCESSING PLANT HATTIESBURG MS,1301 JAMES ST,HATTIESBURG,FORREST,MS,39401,31.306389,-89.277222,HYDROGEN SULFIDE
DOUBLE G COATINGS CO LP,1096 MENDELL DAVIS DR,JACKSON,HINDS,MS,39272,32.166969,-90.260286,ZINC COMPOUNDS
TRINITY HIGHWAY PRODUCTS LLC PLT 1533,2361 ATTALA RD 2202,KOSCIUSKO,ATTALA,MS,39090,33.087629,-89.565632,LEAD
POLYCHEMIE (PORT BIENVILLE PLANT),PORT BIENVILLE INDUSTRIAL PARK RD D,PEARLINGTON,HANCOCK,MS,39572,30.241011,-89.554881,"1,2-DICHLOROETHANE"
LUVATA GRENADA LLC,3984 HWY 51 S,GRENADA,GRENADA,MS,38901,33.725361,-89.785056,COPPER
ANDERSON TULLY LUMBER CO WALTERSVILLE LUMBER MILL,1725 N WASHINGTON ST,VICKSBURG,WARREN,MS,39183,32.377778,-90.869467,LEAD COMPOUNDS
RAYTHEON CO,19859 HWY 80,FOREST,SCOTT,MS,39074,32.35875,-89.405361,LEAD
WARING OIL CO,630 HWY 80 E,JACKSON,RANKIN,MS,39208,32.280193,-90.170597,XYLENE (MIXED ISOMERS)
WARING OIL CO,630 HWY 80 E,JACKSON,RANKIN,MS,39208,32.280193,-90.170597,BENZENE
ESCO CORP,9098 EASTSIDE DR EXT.,NEWTON,NEWTON,MS,39345,32.352056,-89.133472,LEAD COMPOUNDS
ESCO CORP,9098 EASTSIDE DR EXT.,NEWTON,NEWTON,MS,39345,32.352056,-89.133472,PHENOL
ESCO CORP,9098 EASTSIDE DR EXT.,NEWTON,NEWTON,MS,39345,32.352056,-89.133472,MANGANESE COMPOUNDS
C L DEWS & SONS FOUNDRY & MACHINERY CO INC,1600 EDWARDS ST,HATTIESBURG,FORREST,MS,39401,31.304028,-89.284889,MANGANESE
GOLDEN TRIANGLE MILL SERVICE,1947 AIRPORT RD,COLUMBUS,LOWNDES,MS,39701,33.45531,-88.582951,MANGANESE COMPOUNDS
GOLDEN TRIANGLE MILL SERVICE,1947 AIRPORT RD,COLUMBUS,LOWNDES,MS,39701,33.45531,-88.582951,LEAD COMPOUNDS
METL-SPAN A DIV OF NCI GROUP INC,201 APACHE DR,JACKSON,HINDS,MS,39272,32.15911,-90.2581,DIISOCYANATES
DESOTO TREATED MATERIALS INC,941 S MAGNOLIA DR,WIGGINS,STONE,MS,39577,30.847222,-89.166667,LEAD COMPOUNDS
HIXSON LUMBER SALES OF MS,627 HOOD RD,HATTIESBURG,FORREST,MS,39401,31.2831,-89.26288,COPPER COMPOUNDS
SANDERSON FARMS INC,3976 HWY 49,COLLINS,COVINGTON,MS,39428,31.675762,-89.591678,ZINC COMPOUNDS
CHAMPION TECHNOLOGIES INC,3870 HWY 84 E,LAUREL,WAYNE,MS,39443,31.70656,-88.94009,NAPHTHALENE
CHAMPION TECHNOLOGIES INC,3870 HWY 84 E,LAUREL,WAYNE,MS,39443,31.70656,-88.94009,METHANOL
WINCHESTER - OPERATIONS OXFORD MS,411 COUNTY RD 101,OXFORD,LAFAYETTE,MS,38655,34.406028,-89.5205,NITROGLYCERIN
WINCHESTER - OPERATIONS OXFORD MS,411 COUNTY RD 101,OXFORD,LAFAYETTE,MS,38655,34.406028,-89.5205,ANTIMONY
INGALLS SHIPBUILDING GULFPORT OPERATIONS,13303 INDUSTRIAL SEAWAY RD,GULFPORT,HARRISON,MS,39503,30.433619,-89.061958,STYRENE
EKA CHEMICALS INC,4374 NASHVILLE FERRY RD E,COLUMBUS,LOWNDES,MS,39702,33.421972,-88.403889,CHROMIUM COMPOUNDS(EXCEPT CHROMITE ORE MINED IN THE TRANSVAAL REGION)
SANDERSON FARMS INC,1062 JESSIE HALL RD,FERNWOOD,PIKE,MS,39635,31.189277,-90.446197,COPPER COMPOUNDS
US TVA CALEDONIA COMBINED CYCLE PLANT,255 LONE OAK RD,STEENS,LOWNDES,MS,39766,33.6486,-88.27529,AMMONIA
GULF SHIP LLC,12351 GLASCOCK DR,GULFPORT,HARRISON,MS,39503,30.4298,-89.04365,ZINC COMPOUNDS
GULF SHIP LLC,12351 GLASCOCK DR,GULFPORT,HARRISON,MS,39503,30.4298,-89.04365,TOLUENE
MISSISSIPPI POWER CO - PLANT DANIEL,13201 HWY 63 N,MOSS POINT,JACKSON,MS,39562,30.530331,-88.556208,BARIUM COMPOUNDS
MISSISSIPPI POWER CO - PLANT DANIEL,13201 HWY 63 N,MOSS POINT,JACKSON,MS,39562,30.530331,-88.556208,STYRENE
MISSISSIPPI POWER CO - PLANT DANIEL,13201 HWY 63 N,MOSS POINT,JACKSON,MS,39562,30.530331,-88.556208,"HYDROCHLORIC ACID (1995 AND AFTER ACID AEROSOLS"" ONLY)"""
NORBORD MISSISSIPPI LLC,1194 HWY 145,GUNTOWN,LEE,MS,38849,34.463894,-88.651408,MANGANESE
NORBORD MISSISSIPPI LLC,1194 HWY 145,GUNTOWN,LEE,MS,38849,34.463894,-88.651408,DIOXIN AND DIOXIN-LIKE COMPOUNDS
WINCHESTER - OPERATIONS OXFORD MS,411 COUNTY RD 101,OXFORD,LAFAYETTE,MS,38655,34.406028,-89.5205,BARIUM COMPOUNDS
RESOLUTE FP US INC - GRENADA MILL,1000 PAPERMILL RD,GRENADA,GRENADA,MS,38901,33.794004,-89.816475,ZINC COMPOUNDS
HUNT SOUTHLAND REFINING CO - SANDERSVILLE,177 HANEY RD HWY 11 N (2MI N OF SVILLE),HEIDELBERG,JONES,MS,39439,31.814461,-89.008903,TOLUENE
HUNT SOUTHLAND REFINING CO - SANDERSVILLE,177 HANEY RD HWY 11 N (2MI N OF SVILLE),HEIDELBERG,JONES,MS,39439,31.814461,-89.008903,POLYCYCLIC AROMATIC COMPOUNDS
JS BAILEY INC,5454 I-55 S FRONTAGE RD,JACKSON,HINDS,MS,39212,32.192687,-90.251559,"1,2,4-TRIMETHYLBENZENE"
JS BAILEY INC,5454 I-55 S FRONTAGE RD,JACKSON,HINDS,MS,39212,32.192687,-90.251559,BENZENE
SAFETY-KLEEN SYSTEMS INC,990 COMMERCE ST,JACKSON,HINDS,MS,392015903,32.28818,-90.18101,"BENZO(G,H,I)PERYLENE"
US DOD USAF CRTC GULFPORT,4715 HEWES AVE,GULFPORT,HARRISON,MS,395074324,30.408569,-89.059628,ETHYLBENZENE
JS BAILEY INC,5454 I-55 S FRONTAGE RD,JACKSON,HINDS,MS,39212,32.192687,-90.251559,ETHYLBENZENE
WEYERHAEUSER NR CO MCCOMB WOOD PRODUCTS,2056 JESSE HALL RD,MAGNOLIA,PIKE,MS,39652,31.176778,-90.462139,METHANOL
ELECTRIC MILLS WOOD PRESERVING LLC,13569 HWY 45,SCOOBA,KEMPER,MS,393587611,32.769577,-88.463943,PENTACHLOROPHENOL
US ARMY NATIONAL GUARD CAMP SHELBY RANGES,BUILDING 6678,CAMP SHELBY,FORREST,MS,39407,31.206833,-89.202917,LEAD
US ARMY NATIONAL GUARD CAMP SHELBY RANGES,BUILDING 6678,CAMP SHELBY,FORREST,MS,39407,31.206833,-89.202917,NITROGLYCERIN
US ARMY NATIONAL GUARD CAMP SHELBY RANGES,BUILDING 6678,CAMP SHELBY,FORREST,MS,39407,31.206833,-89.202917,COPPER
GULF SHIP LLC,12351 GLASCOCK DR,GULFPORT,HARRISON,MS,39503,30.4298,-89.04365,CHROMIUM
GULF SHIP LLC,12351 GLASCOCK DR,GULFPORT,HARRISON,MS,39503,30.4298,-89.04365,ZINC (FUME OR DUST)
GULF SHIP LLC,12351 GLASCOCK DR,GULFPORT,HARRISON,MS,39503,30.4298,-89.04365,MANGANESE
SOUTHWIRE CO,103 AIRPORT RD,STARKVILLE,OKTIBBEHA,MS,39759,33.436444,-88.846167,DECABROMODIPHENYL OXIDE
NORBORD MISSISSIPPI LLC,1194 HWY 145,GUNTOWN,LEE,MS,38849,34.463894,-88.651408,LEAD COMPOUNDS
NORBORD MISSISSIPPI LLC,1194 HWY 145,GUNTOWN,LEE,MS,38849,34.463894,-88.651408,FORMALDEHYDE
US DOD USAF CRTC GULFPORT,4715 HEWES AVE,GULFPORT,HARRISON,MS,395074324,30.408569,-89.059628,NAPHTHALENE
SKYLINE STEEL LLC - IUKA,77 COUNTY RD 351,IUKA,TISHOMINGO,MS,38852,34.973204,-88.236302,LEAD
MARSHALL DURBIN COS FEED MILL,201 MARSHALL DURBIN DR,WAYNESBORO,WAYNE,MS,39367,31.647806,-88.628333,MANGANESE COMPOUNDS
COLUMBUS CELLULOSE FIBERS,4335 CARSON RD,COLUMBUS,LOWNDES,MS,39703,33.360815,-88.458046,CHLORINE
COLUMBUS CELLULOSE FIBERS,4335 CARSON RD,COLUMBUS,LOWNDES,MS,39703,33.360815,-88.458046,HYDROGEN SULFIDE
MASTER-BILT PRODUCTS,"908 HWY 15, N",NEW ALBANY,UNION,MS,38652,34.542792,-88.990008,CHLORODIFLUOROMETHANE
HUNT SOUTHLAND REFINING CO - SANDERSVILLE,177 HANEY RD HWY 11 N (2MI N OF SVILLE),HEIDELBERG,JONES,MS,39439,31.814461,-89.008903,ETHYLBENZENE
HARCROS CHEMICALS INC,4280 RIFLE RANGE RD,VICKSBURG,WARREN,MS,39180,32.299167,-90.900556,HYDROGEN FLUORIDE
ADVANCED URETHANE TECHNOLOGIES,485 INDUSTRIAL DR,COLDWATER,TATE,MS,38618,34.816321,-89.981276,DIISOCYANATES
SANDERSON FARMS INC,1111 N FIR AVE,COLLINS,COVINGTON,MS,39428,31.650556,-89.566389,PERACETIC ACID
JOHNSTON-TOMBIGBEE FURNITURE MANUFACTURING CO INC,1503 JOHNSTON ST,COLUMBUS,LOWNDES,MS,39701,33.514889,-88.397611,TOLUENE
DUPONT DELISLE PLANT,7685 KILN-DELISLE RD,PASS CHRISTIAN,HARRISON,MS,395710430,30.380556,-89.307778,HEXACHLOROBENZENE
DUPONT DELISLE PLANT,7685 KILN-DELISLE RD,PASS CHRISTIAN,HARRISON,MS,395710430,30.380556,-89.307778,COBALT COMPOUNDS
DUPONT DELISLE PLANT,7685 KILN-DELISLE RD,PASS CHRISTIAN,HARRISON,MS,395710430,30.380556,-89.307778,PENTACHLOROBENZENE
